date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:38	115/115	---MC-	200	added ('OK')	text/plain	date:Wed,%2018%20May%202022%2013:58:37%20GMT	https://magnetbahn.org/robots.txt		(from )
15:58:39	158570/158570	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20May%202022%2013:58:37%20GMT	https://magnetbahn.org/	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/index.html	(from )
15:58:39	26862/26862	---M--	200	added ('OK')	image/jpeg	etag:%2268ee-5cac265f512b8%22	https://magnetbahn.org/wp-content/uploads/2021/08/77C0C542-3BEA-4098-8235-3EB4B1475F34-1024x1024.jpeg	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/uploads/2021/08/77C0C542-3BEA-4098-8235-3EB4B1475F34-1024x1024.jpg	(from https://magnetbahn.org/)
15:58:39	99834/99834	---M--	200	added ('OK')	image/jpeg	etag:%22185fa-5cac265f1b758%22	https://magnetbahn.org/wp-content/uploads/2021/08/77C0C542-3BEA-4098-8235-3EB4B1475F34.jpeg	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/uploads/2021/08/77C0C542-3BEA-4098-8235-3EB4B1475F34.jpg	(from https://magnetbahn.org/)
15:58:39	8929/8929	---M-Z	200	added ('OK')	text/css	etag:%2222e1-5dbfa9c6517b8-gzip%22	https://magnetbahn.org/wp-content/plugins/ar-for-wordpress/assets/css/ar-display.css?ver=1.0.0	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/plugins/ar-for-wordpress/assets/css/ar-display8a54.css	(from https://magnetbahn.org/)
15:58:40	83419/83419	---M-Z	200	added ('OK')	text/css	etag:%22145db-5dbf3a0458600-gzip%22	https://magnetbahn.org/wp-includes/css/dist/block-library/style.min.css?ver=5.9.3	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-includes/css/dist/block-library/style.min7404.css	(from https://magnetbahn.org/)
15:58:40	9771/9771	---M-Z	200	added ('OK')	text/css	etag:%22262b-5d757d10e36db-gzip%22	https://magnetbahn.org/wp-content/themes/phlox-pro/css/news.css?ver=1.5.6	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/themes/phlox-pro/css/news7976.css	(from https://magnetbahn.org/)
15:58:40	182230/182230	---M-Z	200	added ('OK')	text/css	etag:%222c7d6-5d757d10e467b-gzip%22	https://magnetbahn.org/wp-content/themes/phlox-pro/css/base.css?ver=5.7.3	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/themes/phlox-pro/css/base76f3.css	(from https://magnetbahn.org/)
15:58:40	1070/1070	---MC-	200	added ('OK')	application/rss+xml	etag:%2272997e2091f56f753d0be0a9250cb7f2%22	https://magnetbahn.org/feed/	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/feed/index.html	(from https://magnetbahn.org/)
15:58:40	54207/54207	---M-Z	200	added ('OK')	text/css	etag:%22d3bf-5d757d10e36db-gzip%22	https://magnetbahn.org/wp-content/themes/phlox-pro/css/auxin-icon.css?ver=5.7.3	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/themes/phlox-pro/css/auxin-icon76f3.css	(from https://magnetbahn.org/)
15:58:41	892736/892736	---MCZ	200	added ('OK')	text/css	etag:%22d9f40-5d757d10e36db-gzip%22	https://magnetbahn.org/wp-content/themes/phlox-pro/css/main.css?ver=5.7.3	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/themes/phlox-pro/css/main76f3.css	(from https://magnetbahn.org/)
15:58:41	19128/19128	---M-Z	200	added ('OK')	text/css	etag:%224ab8-5ddab1dec665a-gzip%22	https://magnetbahn.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.15.0	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7816.css	(from https://magnetbahn.org/)
15:58:41	13805/13805	---M-Z	200	added ('OK')	text/css	etag:%2235ed-5ddab1de83fed-gzip%22	https://magnetbahn.org/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.6.5	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/plugins/elementor/assets/css/frontend-legacy.min3ab2.css	(from https://magnetbahn.org/)
15:58:41	745/745	---MC-	200	added ('OK')	application/rss+xml	etag:%223832370e22cc187797e295f4c8b06f22%22	https://magnetbahn.org/comments/feed/	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/comments/feed/index.html	(from https://magnetbahn.org/)
15:58:41	163326/163326	---M-Z	200	added ('OK')	text/css	etag:%2227dfe-5ddab1de84f8d-gzip%22	https://magnetbahn.org/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.6.5	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/plugins/elementor/assets/css/frontend.min3ab2.css	(from https://magnetbahn.org/)
15:58:42	1337/1337	---M-Z	200	added ('OK')	text/css	etag:%22539-5daf292f7965f-gzip%22	https://magnetbahn.org/wp-content/uploads/elementor/css/post-873.css?ver=1648110266	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/uploads/elementor/css/post-8734b88.css	(from https://magnetbahn.org/)
15:58:42	1264/1264	---M-Z	200	added ('OK')	text/css	etag:%224f0-5d757d10e273c-gzip%22	https://magnetbahn.org/wp-content/themes/phlox-pro/css/other/elementor.css?ver=5.7.3	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/themes/phlox-pro/css/other/elementor76f3.css	(from https://magnetbahn.org/)
15:58:42	109/109	---M-Z	200	added ('OK')	text/css	etag:%226d-5dd64c0ff8407-gzip%22	https://magnetbahn.org/wp-content/plugins/auxin-elements/admin/assets/css/elementor-widgets.css?ver=5.9.3	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/plugins/auxin-elements/admin/assets/css/elementor-widgets7404.css	(from https://magnetbahn.org/)
15:58:42	11256/11256	---M-Z	200	added ('OK')	text/css	etag:%222bf8-5dbf3a0458600-gzip%22	https://magnetbahn.org/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.16	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-includes/js/mediaelement/mediaelementplayer-legacy.min08e1.css	(from https://magnetbahn.org/)
15:58:43	4186/4186	---M-Z	200	added ('OK')	text/css	etag:%22105a-5dbf3a0458600-gzip%22	https://magnetbahn.org/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=5.9.3	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-includes/js/mediaelement/wp-mediaelement.min7404.css	(from https://magnetbahn.org/)
15:58:43	242339/242339	---M-Z	200	added ('OK')	text/css	etag:%223b2a3-5c7cfab13ce30-gzip%22	https://magnetbahn.org/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.3.2	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/plugins/elementor-pro/assets/css/frontend.mind617.css	(from https://magnetbahn.org/)
15:58:43	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%22e7d0-5ddab1ded21d6-gzip%22	https://magnetbahn.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.6.5	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min3ab2.css	(from https://magnetbahn.org/)
15:58:43	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%22684e-5ddab1ded3176-gzip%22	https://magnetbahn.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.6.5	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min3ab2.css	(from https://magnetbahn.org/)
15:58:43	21319/21319	---M-Z	200	added ('OK')	text/css	etag:%225347-5daf2934836c5-gzip%22	https://magnetbahn.org/wp-content/uploads/elementor/css/post-22708.css?ver=1648110271	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/uploads/elementor/css/post-2270891f6.css	(from https://magnetbahn.org/)
15:58:44	289/289	---M--	302	error ('Found')	text/html	date:Wed,%2018%20May%202022%2013:58:44%20GMT	http://magnetbahn.org/wp-content/plugins/a3-lazy-load/assets/css/jquery.lazyloadxt.spinner.css?ver=5.9.3	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/plugins/a3-lazy-load/assets/css/jquery.lazyloadxt.spinner.147404.delayed	(from https://magnetbahn.org/)
15:58:44	311/311	---M-Z	200	added ('OK')	text/css	etag:%22137-5d6524accee9a-gzip%22	https://magnetbahn.org/wp-content/plugins/a3-lazy-load/assets/css/jquery.lazyloadxt.spinner.css?ver=5.9.3	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/plugins/a3-lazy-load/assets/css/jquery.lazyloadxt.spinner7404.css	(from https://magnetbahn.org/)
15:58:44	275/275	---M--	302	error ('Found')	text/html	date:Wed,%2018%20May%202022%2013:58:44%20GMT	http://magnetbahn.org/wp-content/uploads/sgf-css/font-9b76f2b872ce01eb87906488d9f87999.css	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/uploads/sgf-css/font-9b76f2b872ce01eb87906488d9f87999.css	(from https://magnetbahn.org/)
15:58:44	18911/18911	---M-Z	200	added ('OK')	text/css	etag:%2249df-5c23a30aafec5-gzip%22	https://magnetbahn.org/wp-content/uploads/sgf-css/font-9b76f2b872ce01eb87906488d9f87999.css	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/uploads/sgf-css/font-9b76f2b872ce01eb87906488d9f87999.css	(from https://magnetbahn.org/)
15:58:45	11824/11824	---M-Z	200	added ('OK')	text/css	etag:%222e30-5de7e28511ff1-gzip%22	https://magnetbahn.org/wp-content/uploads/phlox-pro/custom.css?ver=9.1	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/uploads/phlox-pro/custom1e6a.css	(from https://magnetbahn.org/)
15:58:45	12763/12763	---M-Z	200	added ('OK')	text/css	etag:%2231db-5d757d10e467b-gzip%22	https://magnetbahn.org/wp-content/themes/phlox-pro/css/go-pricing.css?ver=5.7.3	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/themes/phlox-pro/css/go-pricing76f3.css	(from https://magnetbahn.org/)
15:58:45	24432/24432	---M-Z	200	added ('OK')	text/css	etag:%225f70-5d757d10e36db-gzip%22	https://magnetbahn.org/wp-content/themes/phlox-pro/css/portfolio.css?ver=2.2.7	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/themes/phlox-pro/css/portfolio3cae.css	(from https://magnetbahn.org/)
15:58:45	6614/6614	---M-Z	200	added ('OK')	text/css	etag:%2219d6-5daf292fb7e5c-gzip%22	https://magnetbahn.org/wp-content/uploads/elementor/css/post-876.css?ver=1648110266	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/uploads/elementor/css/post-8764b88.css	(from https://magnetbahn.org/)
15:58:46	2036/2036	---M-Z	200	added ('OK')	text/css	etag:%227f4-5de69d502c362-gzip%22	https://magnetbahn.org/wp-content/uploads/elementor/css/post-403.css?ver=1651921010	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/uploads/elementor/css/post-403ad82.css	(from https://magnetbahn.org/)
15:58:46	275/275	---M--	302	error ('Found')	text/html	date:Wed,%2018%20May%202022%2013:58:46%20GMT	http://magnetbahn.org/wp-content/uploads/sgf-css/font-59db4a9b93ea358ef9909ccd7ed75f17.css	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/uploads/sgf-css/font-59db4a9b93ea358ef9909ccd7ed75f17.css	(from https://magnetbahn.org/)
15:58:46	17484/17484	---M-Z	200	added ('OK')	text/css	etag:%22444c-5dc225f0cfbc6-gzip%22	https://magnetbahn.org/wp-content/uploads/sgf-css/font-59db4a9b93ea358ef9909ccd7ed75f17.css	C:/My%20Web%20Sites/MB%20II/magnetbahn.org/wp-content/uploads/sgf-css/font-59db4a9b93ea358ef9909ccd7ed75f17.css	(from https://magnetbahn.org/)
